Name,Latitude,Longitude,HotspotID
Machicomoco State Park,37.31179,-76.539382,L13926803
"Madison Run Fire Road, Shenandoah National Park",38.25778,-78.77246,L718586
Magothy Bay Natural Area Preserve,37.150434,-75.949385,L1007732
"Malvern Hill Battlefield, Richmond National Battlefield Park",37.41262,-77.248965,L443270
Manassas National Battlefield Park,38.812975,-77.519937,L718588
Mason Neck National Wildlife Refuge,38.640963,-77.164669,L159345
Mason Neck State Park,38.632077,-77.202808,L718591
Masons Mill Park,37.294753,-79.920157,L718592
Massanutten East Route,38.895489,-78.30484,L718593
Matthews State Forest,36.638278,-80.957604,L718595
Meadow Farm Museum and Crump Park,37.670598,-77.517186,L718596
Meadowlark Botanical Gardens,38.9376,-77.28056,L224267
Meadowview Biological Research Station,38.145346,-77.388136,L718598
Merrimac Farm Wildlife Management Area,38.624353,-77.533264,L675465
Mill Creek Lake Park,37.66147,-79.08161,L718601
Mill Mountain Park (including Star Trail),37.25065,-79.93258,L718602
Mockhorn Island Wildlife Management Area,37.163513,-75.952769,L516912
Monster Rock Trail,37.044218,-81.230134,L618340
Montebello Area,37.843876,-79.130338,L718606
Montgomery Hall Park,38.14632,-79.09111,L718607
Monticello Park,38.834528,-77.070065,L159356
Motts Run Reservoir Recreation Area,38.31681,-77.55785,L295824
Mount Pleasant Scenic Area,37.7587,-79.1885,L718610
Mountain Lake Lodge,37.35558,-80.53539,L159358
Mountain Run Lake Park,38.47933,-78.06941,L718614
Mountain View Park (formerly Grottoes Town Park),38.282186,-78.831243,L718492
Moyer Sports Complex/Roanoke River Greenway,37.282183,-80.058538,L718613
Mt. Rogers National Recreation Area,36.633279,-81.50898,L5234777
Munden Point Park,36.583502,-76.03736,L796955
Mutton Hunk Fen Natural Area Preserve,37.770908,-75.575321,L1611562
Natural Bridge State Park,37.627505,-79.542488,L718617
Natural Chimneys Regional Park,38.355792,-79.086199,L718618
Natural Tunnel State Park,36.70161,-82.74815,L718619
New Market Battlefield State Historical Park,38.66125,-78.6702,L718623
New Point Comfort Natural Area Preserve,37.320385,-76.281322,L718624
New Quarter Park,37.290038,-76.646318,L286165
New River Paddle Route - Radford,37.10746,-80.59154,L718698
New River Trail State Park - Cliffview,36.68074,-80.9181,L718627
New River Trail State Park - Galax,36.66815,-80.92472,L718629
New River Trail State Park - Ivanhoe Birding Trail,36.839272,-80.953798,L18586929
New River Trail State Park - Pulaski,37.04541,-80.74944,L718630
New River Trail State Park: Foster Falls,36.88448,-80.85608,L718628
Newport News Park,37.180158,-76.547647,L718631
Ni River Recreation Area,38.24557,-77.5985,L718632
Norfolk Botanical Garden,36.903966,-76.202511,L251092
North Anna Battlefield Park,37.878698,-77.505117,L8790974
North Fork of the Pound & Phillips Creek Recreation Area,37.1043,-82.67188,L718655
North Haven Beach,37.435327,-76.253452,L579828
Northwest River Park,36.573333,-76.159771,L718636
Oak Grove Park,36.755587,-76.263357,L718637
Occoneechee State Park,36.63485,-78.52886,L718639
Occoquan Bay National Wildlife Refuge,38.638021,-77.229463,L718641
Occoquan Regional Park,38.68423,-77.255554,L718642
Old City Cemetery,37.41374,-79.15517,L718643
Osborne Park and Boat Landing,37.401595,-77.385241,L718645
Oxbow Lake Park,36.90516,-82.32016,L718646
Paddy Knob Lookout,38.26366,-79.80034,L619164
Paint Bank General Store/Depot Lodge/Hollow Hill Farm,37.56858,-80.26167,L15202367
Pandapas Pond,37.28513,-80.46027,L718650
Paradise Creek Nature Park,36.80048909,-76.30764046,L1853301
"Paul C. Edmunds, Jr. Memorial Park",36.71774,-78.86652,L718651
Paul State Forest,38.435167,-79.036111,L718652
Peaks of Otter Recreation Area,37.4453,-79.60976,L718653
Petticoat Junction - Jackson River Float Trip,37.842,-79.98967,L718534
Pettigrew Wildlife Management Area,38.207359,-77.279141,L718654
Philpott Lake Dam & Overlook,36.779291,-80.028904,L718656
Pinnacle Natural Area Preserve,36.94926,-82.05393,L718659
Pleasure House Point Natural Area,36.905732,-76.105845,L1990251
Pocahontas State Park,37.391182,-77.579524,L718660
Pohick Bay Regional Park,38.675315,-77.168194,L718661
Pole Green Park,37.64222,-77.307227,L718662
"Pony Pasture, James River Park System",37.550931,-77.520538,L3542266
Poor Mountain Natural Area Preserve,37.228999,-80.088001,L718665
Poor Mountain Ridgeline Drive,37.196575,-80.153567,L2775685
Poplar Gap Park/Sunset Hollow,37.244224,-82.162634,L718667
Potomac Heritage Trail,38.89315,-77.066095,L718668
Potomac Overlook Regional Park,38.910808,-77.109431,L159374
Pound River Recreational Area,37.193257,-82.449141,L718670
Powhatan State Park,37.663936,-77.923133,L1085755
Powhatan Wildlife Management Area,37.578361,-77.992333,L718671
Prince Edward-Gallion State Forest,37.16333,-78.29086,L2465207
Prince William Forest Park,38.563966,-77.383357,L718673
Princess Anne Wildlife Management Area,36.622445,-76.002819,L473385
Queen Sound Landing,37.934924,-75.419764,L718675
R. Garland Dodd Park at Points of Rocks,37.32367467,-77.35306273,L159373
Ragged Island Wildlife Management Area,36.965268,-76.514283,L718676
Ragged Mountain Natural Area,38.02645,-78.555892,L422642
Ramseys Draft Wilderness,38.30668,-79.36239,L159311
Rapidan Wildlife Management Area,38.42126,-78.4062,L718678
"Rappahannock River Valley National Wildlife Refuge, Cat Point Creek Unit",37.998765,-76.817206,L718505
"Rappahannock River Valley National Wildlife Refuge, Hutchinson Unit",37.945075,-76.880201,L849175
"Rappahannock River Valley National Wildlife Refuge, Laurel Grove Unit",37.831005,-76.664915,L4434845
"Rappahannock River Valley National Wildlife Refuge, Port Royal Unit",38.168546,-77.189022,L718681
"Rappahannock River Valley National Wildlife Refuge, Wilna Unit",38.022512,-76.875084,L417475
Raven Cliff Karst Area,36.83917,-81.07554,L718682
"Raymond R. ""Andy"" Guest Jr., Shenandoah River State Park",38.86339,-78.31034,L418815
Red Hill - The Patrick Henry National Memorial,37.032168,-78.898129,L159378
Red Rock Wilderness Overlook Park,39.11296,-77.50986,L718683
Reddish Knob,38.462306,-79.241679,L718684
Richard Bland College,37.156675,-77.394376,L718685
"Richard P. Gravely, Jr Nature Preserve",36.610722,-79.817596,L7190043
Richmond National Battlefield Park at Drewrys Bluff,37.420018,-77.427191,L718686
River's Edge Sports Complex,37.253844,-79.948802,L718695
Riverbend Park,39.020734,-77.246848,L718694
Riverside Park,38.710716,-77.072404,L354223
Roaches Run Waterfowl Sanctuary,38.86539,-77.041411,L718699
Roanoke Water Pollution Control Plant,37.26549,-79.91521,L718701
Roaring Branch,36.8815,-82.789023,L718702
Robious Landing Park,37.556246,-77.648064,L377433
Rockfish Gap Hawk Watch,38.029152,-78.859032,L391
Rockfish River Road,37.80054,-78.75405,L718703
Rockwood Park,37.44901,-77.581618,L617671
Rocky Knob/Rock Castle Gorge Trail,36.81007,-80.35018,L718704
Rural Retreat Lake,36.86532,-81.28906,L718708
Ruskin Freer Nature Preserve,37.41855,-79.17566,L718709
"Saddle Overlook, Blue Ridge Parkway",36.82294,-80.341587,L718716
Sailor's Creek Battlefield State Park,37.31043,-78.22182,L718717
Saltville Well Fields,36.87362,-81.76652,L421209
Sandy Bottom Nature Park,37.064363,-76.429501,L718718
Sandy River Reservoir,37.25709,-78.31946,L1041056
Saunders-Monticello Trail,38.004158,-78.478901,L718608
Savage Neck Dunes Natural Area Preserve,37.327888,-76.004021,L216894
Scheier Natural Area,37.843998,-78.381204,L718724
"Scotchtown, Home of Patrick Henry",37.84456999,-77.58696,L718725
Scott's Run Nature Preserve,38.956288,-77.198371,L718726
Seaview Farm,37.330865,-75.920636,L718727
Seven Sisters Trail,37.02022,-81.13766,L718728
Shenandoah County Park,38.93267,-78.45601,L718729
Shenandoah Mountain,38.3118,-79.3843,L1537010
Sherando Lake,37.93133,-78.97933,L718730
Sherwood Forest Plantation,37.333799,-77.018387,L718731
Shot Tower State Park (Access to New River Trail State Park),36.86979,-80.87006,L159402
Silver Lake,38.42486,-78.94011,L159403
